NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE HORECA;TYPE;TELEPHONE
I Gemelli;Place Edmond Gilles;17;6042;Lodelinsart;Restaurant;;071/65 02 08
Mitica Pizzeria;Chaussée de Bruxelles;486;6042;Lodelinsart;Restaurant;;071/50 20 83
Ô Parfum d'Asie (ex. chez Zhang);Chaussée de Bruxelles;147;6042;Lodelinsart;Restaurant;;071/33 25 31
La Savoyarde;Place du Perron;26;6030;Marchienne-au-Pont;Restaurant;;071 51 18 91
Saka20;Rue de la Chapelle;66;6030;Marchienne-au-Pont;Restaurant;;0475 25 91 59
Il Truletto;Place Louis Delhaize;15;6043;Ransart;Restaurant;;071/35.44.18
Hôtel South;Chaussée de Gilly;206;6043;Ransart;Hôtel;;071/25.65.65
LE RECOMMANDE;Rue Julien Schmidt;4;6020;Dampremy;Restaurant;;071 30 94 20
ZIO FRANCO;Rue Albert Camus;5;6031;Monceau-sur-Sambre;Restaurant;;071 30 22 88
PIZZA TIME;Rue de Mons;02-f�vr;6031;Monceau-sur-Sambre;Restaurant;Pizzeria;071 57 41 02
LE BAR A BROCHETTES;Rue des Combattants;20;6031;Monceau-sur-Sambre;Restaurant;Italien;0477 92 03 64
GINO ET CLAUDIA;Rue des Combattants;8;6031;Monceau-sur-Sambre;Restaurant;Italien;071 50 01 77
LA PERGOLA;Avenue Paul Pastur;79;6032;Mont-sur-Marchienne;Restaurant;;071 43 45 36
LE PALAIS IMPERIAL;Avenue Paul Pastur;412;6032;Mont-sur-Marchienne;Restaurant;Chinois;071 / 307 461
Antica Trattoria;Avenue du Chêne Saint Jean;4;6041;Gosselies;Restaurant;Italien;071/35 91 34
Barabouf;Rue de Wayaux;1;6041;Gosselies;Restaurant;;071 35 44 93
Bell'Italia;Chaussée de Courcelles;173;6041;Gosselies;Restaurant;;071/37 13 65
Délices d'Asie;Rue de Namur;1;6041;Gosselies;Restaurant;Asiatique;071/351878
La Cantine;Chemin du Long Préat;2;6041;Gosselies;Restaurant;;071 34 19 32
La Churrascaria (Los Tacos);Rue Pont-à-Migneloux;58;6041;Gosselies;Restaurant;;071 85 20 22
Le Croq'Midi;Rue du Calvaire;22;6041;Gosselies;Restaurant;;071 35 04 58
L'Esprit Bouddha;Place des Martyrs;30;6041;Gosselies;Restaurant;;071/37 22 05
Pizza Hut;Rue Tahon;10;6041;Gosselies;Restaurant;Pizzeria;071/373767
BENVENUTI AL SUD;ROUTE DE PHILIPPEVILLE;39;6010;Couillet;Restaurant;;0479/238297
LUNCH GARDEN;ROUTE DE PHILIPPEVILLE;303;6010;Couillet;Restaurant;;071/518407
